trainMSE,testMSE
2726.21484375,2688.8447265625
695.9732055664062,808.9367065429688
379.7685852050781,436.717529296875
225.49609375,254.11123657226562
168.87222290039062,190.83456420898438
128.97129821777344,148.82040405273438
102.94696044921875,115.65106201171875
82.44381713867188,95.964111328125
64.25228881835938,72.0201187133789
51.61041259765625,56.833534240722656
41.85109329223633,45.5895881652832
41.19541549682617,44.59565734863281
28.396896362304688,30.352169036865234
24.712631225585938,26.71390151977539
20.178138732910156,20.877309799194336
19.109756469726562,20.558866500854492
13.520279884338379,13.454256057739258
14.688888549804688,15.019559860229492
10.271563529968262,10.001619338989258
9.807258605957031,9.248979568481445
10.980056762695312,10.560410499572754
8.08187198638916,7.458099842071533
7.497010707855225,6.668388843536377
8.451432228088379,7.716879367828369
7.717194557189941,7.080951690673828
6.628175258636475,5.730964660644531
6.921085357666016,6.060352325439453
7.34259557723999,6.444067001342773
6.307036399841309,5.172321319580078
5.9529194831848145,4.732141017913818
5.523421287536621,4.512912273406982
5.779120922088623,4.7855353355407715
7.893546104431152,7.239103317260742
6.351442337036133,5.442473888397217
5.805411338806152,4.784997463226318
5.506911754608154,4.4649739265441895
5.404150485992432,4.446227073669434
5.314614295959473,4.599087238311768
4.585716247558594,3.504976511001587
4.59057092666626,3.547616720199585
5.297153472900391,4.683915615081787
4.832699775695801,4.0041608810424805
4.653653144836426,3.5660135746002197
4.31156587600708,3.5172343254089355
4.175877094268799,3.2946319580078125
4.56724214553833,3.755902051925659
4.499364376068115,3.437861919403076
4.955971717834473,4.236939430236816
4.265634059906006,3.7158827781677246
6.393737316131592,5.866845607757568
4.104494571685791,3.3838067054748535
4.722888946533203,3.86802339553833
5.09816312789917,4.684174060821533
4.3779296875,3.756277561187744
5.306014537811279,4.433201789855957
4.8545355796813965,4.0121564865112305
4.125296592712402,3.3292293548583984
4.19895076751709,3.140857696533203
4.3001179695129395,3.29585599899292
5.001630783081055,4.539080619812012
4.989692687988281,3.8685085773468018
5.5373454093933105,4.937453746795654
5.11995267868042,4.611016273498535
4.274404525756836,3.476799964904785
4.341489315032959,3.8712828159332275
3.8371191024780273,3.0504648685455322
4.045548915863037,3.5016584396362305
4.353281497955322,3.561649799346924
6.14530611038208,5.317480564117432
5.323718070983887,4.6647748947143555
4.314731597900391,3.5306801795959473
4.31318998336792,3.5850887298583984
6.209319114685059,6.0729546546936035
5.432347774505615,4.761655330657959
6.020887851715088,4.998021602630615
4.393423557281494,3.654804229736328
4.366871356964111,3.75062894821167
4.5799560546875,3.913403272628784
4.693662643432617,3.9150614738464355
4.8435821533203125,4.080735683441162
4.391284942626953,3.8632988929748535
4.8985090255737305,4.237500190734863
5.125756740570068,4.628643989562988
7.080656051635742,6.574735641479492
3.947763681411743,3.038372039794922
4.529099464416504,4.015585899353027
3.6712992191314697,2.875532388687134
6.218127727508545,5.365588188171387
4.834833145141602,4.152674198150635
3.9404406547546387,3.2232553958892822
5.465062141418457,5.068807125091553
3.923771381378174,3.0571866035461426
4.653028964996338,3.8297195434570312
4.927364349365234,3.94549822807312
3.6714179515838623,2.9044861793518066
5.874955654144287,5.018158912658691
4.554292678833008,4.180574893951416
4.8298540115356445,4.043853282928467
3.98042631149292,3.228543519973755
5.789211750030518,5.686498641967773
3.6209557056427,2.9233765602111816
3.7781171798706055,3.0555524826049805
3.652456045150757,2.9840810298919678
5.315091609954834,4.912430286407471
5.6697998046875,4.748929500579834
4.722478866577148,4.101668357849121
3.9171736240386963,3.14613938331604
4.455627918243408,3.919975996017456
5.603510856628418,5.34758996963501
3.6881496906280518,2.909189462661743
3.703202486038208,2.8057987689971924
4.428243637084961,3.715874433517456
3.9827609062194824,3.077036142349243
4.199307441711426,3.3406567573547363
3.8224260807037354,3.362455368041992
4.47016716003418,3.840672016143799
4.073479652404785,3.4537370204925537
9.124829292297363,8.58042049407959
4.277263164520264,3.590592622756958
3.570047378540039,2.805809259414673
5.394580841064453,4.620535850524902
4.2406535148620605,3.651404857635498
4.090775966644287,3.162010431289673
3.563117265701294,2.9308578968048096
3.8825154304504395,3.103969097137451
5.292862415313721,4.403459548950195
4.332361698150635,3.6904666423797607
4.24570894241333,3.8964624404907227
8.042716979980469,7.973391532897949
4.214357376098633,3.509289026260376
4.885112762451172,3.9572060108184814
3.8895580768585205,2.936866044998169
3.572763681411743,2.8476338386535645
3.9305427074432373,3.1009278297424316
4.055967330932617,3.2597122192382812
3.5172219276428223,2.675276756286621
5.816195964813232,5.6373982429504395
3.6681876182556152,2.91461181640625
4.034621715545654,3.0172955989837646
5.305953025817871,4.513333320617676
3.6066017150878906,2.8387792110443115
4.21366024017334,3.2207224369049072
4.493607044219971,3.5929830074310303
7.3802289962768555,7.677554130554199
3.788482427597046,3.0145421028137207
3.9894440174102783,3.1910974979400635
4.630322456359863,3.8770534992218018
4.8516950607299805,4.2067766189575195
3.651463747024536,2.9268743991851807
4.5015058517456055,3.7023894786834717
